,AREA # 01,Banteay Meanchey,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 5 - 9 years,42210,40865,83075,,,,
, 10 - 14 yrs,48883,48103,96986,,,,
, 15 - 19 yrs,70238,89265,159503,,,,
, 20 - 24 yrs,92705,110954,203659,,,,
, 25 - 29 yrs,81631,90218,171849,,,,
, 30 - 34 yrs,36366,37806,74172,,,,
, 35 - 39 yrs,42000,42784,84784,,,,
, 40 - 44 yrs,33373,33737,67110,,,,
, 45 - 49 yrs,28000,31424,59424,,,,
, 50 - 54 yrs,21851,29162,51013,,,,
, 55 - 59 yrs,16797,21593,38390,,,,
, 60 - 64 yrs,10708,14345,25053,,,,
, 65 - 69 yrs,6899,9756,16655,,,,
, 70 - 74 yrs,4533,7050,11583,,,,
, 75 - 79 yrs,2642,4716,7358,,,,
, 80+ yrs,2103,4585,6688,,,,
, Total,584663,658329,1242992,,,,
,,,,,,,,
,AREA # 13,Preah Vihear,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,533,485,1018,,,,
, 5 - 9 years,553,482,1035,,,,
, 10 - 14 yrs,705,658,1363,,,,
, 15 - 19 yrs,771,726,1497,,,,
, 20 - 24 yrs,520,456,976,,,,
, 25 - 29 yrs,497,499,996,,,,
, 30 - 34 yrs,349,337,686,,,,
, 35 - 39 yrs,424,373,797,,,,
, 40 - 44 yrs,392,354,746,,,,
, 45 - 49 yrs,299,250,549,,,,
, 50 - 54 yrs,163,149,312,,,,
, 55 - 59 yrs,105,120,225,,,,
, 60 - 64 yrs,67,84,151,,,,
, 65 - 69 yrs,44,77,121,,,,
, 70 - 74 yrs,32,56,88,,,,
, 75 - 79 yrs,33,40,73,,,,
, 80+ yrs,21,25,46,,,,
, Total,5508,5171,10679,,,,
,,,,,,,,
,AREA # 14,Prey Veng,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1350,1280,2630,,,,
, 5 - 9 years,1553,1427,2980,,,,
, 10 - 14 yrs,1927,1817,3744,,,,
, 15 - 19 yrs,2297,2162,4459,,,,
, 20 - 24 yrs,1672,1685,3357,,,,
, 25 - 29 yrs,1469,1520,2989,,,,
, 30 - 34 yrs,786,890,1676,,,,
, 35 - 39 yrs,1159,1212,2371,,,,
, 40 - 44 yrs,1105,1099,2204,,,,
, 45 - 49 yrs,929,1078,2007,,,,
, 50 - 54 yrs,628,904,1532,,,,
, 55 - 59 yrs,499,608,1107,,,,
, 60 - 64 yrs,268,387,655,,,,
, 65 - 69 yrs,185,297,482,,,,
, 70 - 74 yrs,148,242,390,,,,
, 75 - 79 yrs,96,165,261,,,,
, 80+ yrs,89,146,235,,,,
, Total,16160,16919,33079,,,,
,,,,,,,,
,AREA # 15,Pursat,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1036,972,2008,,,,
, 5 - 9 years,1115,1040,2155,,,,
, 10 - 14 yrs,1532,1500,3032,,,,
, 15 - 19 yrs,1836,1997,3833,,,,
, 20 - 24 yrs,1381,1492,2873,,,,
, 25 - 29 yrs,1048,1192,2240,,,,
, 30 - 34 yrs,436,462,898,,,,
, 35 - 39 yrs,666,788,1454,,,,
, 40 - 44 yrs,733,813,1546,,,,
, 45 - 49 yrs,686,889,1575,,,,
, 50 - 54 yrs,547,760,1307,,,,
, 55 - 59 yrs,381,547,928,,,,
, 60 - 64 yrs,240,406,646,,,,
, 65 - 69 yrs,170,257,427,,,,
, 70 - 74 yrs,95,230,325,,,,
, 75 - 79 yrs,73,131,204,,,,
, 80+ yrs,52,147,199,,,,
, Total,12027,13623,25650,,,,
,,,,,,,,
,AREA # 16,Ratanak Kiri,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,982,928,1910,,,,
, 5 - 9 years,907,926,1833,,,,
, 10 - 14 yrs,1203,1087,2290,,,,
, 15 - 19 yrs,1359,1186,2545,,,,
, 20 - 24 yrs,1221,1008,2229,,,,
, 25 - 29 yrs,1160,1010,2170,,,,
, 30 - 34 yrs,707,668,1375,,,,
, 35 - 39 yrs,823,631,1454,,,,
, 40 - 44 yrs,608,482,1090,,,,
, 45 - 49 yrs,446,405,851,,,,
, 50 - 54 yrs,276,287,563,,,,
, 55 - 59 yrs,189,214,403,,,,
, 60 - 64 yrs,85,136,221,,,,
, 65 - 69 yrs,71,85,156,,,,
, 70 - 74 yrs,50,61,111,,,,
, 75 - 79 yrs,29,32,61,,,,
, 80+ yrs,20,35,55,,,,
, Total,10136,9181,19317,,,,
,,,,,,,,
,AREA # 17,Siem Reap,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,9159,8425,17584,,,,
, 5 - 9 years,8527,7689,16216,,,,
, 10 - 14 yrs,9397,8716,18113,,,,
, 15 - 19 yrs,10758,11103,21861,,,,
, 20 - 24 yrs,12122,12014,24136,,,,
, 25 - 29 yrs,11226,10425,21651,,,,
, 30 - 34 yrs,5363,5094,10457,,,,
, 35 - 39 yrs,5635,5217,10852,,,,
, 40 - 44 yrs,4292,4386,8678,,,,
, 45 - 49 yrs,3772,3903,7675,,,,
, 50 - 54 yrs,2356,3114,5470,,,,
, 55 - 59 yrs,1627,2405,4032,,,,
, 60 - 64 yrs,1082,1713,2795,,,,
, 65 - 69 yrs,750,1156,1906,,,,
, 70 - 74 yrs,464,866,1330,,,,
, 75 - 79 yrs,261,563,824,,,,
, 80+ yrs,250,435,685,,,,
, Total,87041,87224,174265,,,,
,,,,,,,,
,AREA # 18,Preah Sihanouk,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,3815,3649,7464,,,,
, 5 - 9 years,3758,3637,7395,,,,
, 10 - 14 yrs,4885,4607,9492,,,,
, 15 - 19 yrs,5736,6324,12060,,,,
, 20 - 24 yrs,5804,6612,12416,,,,
, 25 - 29 yrs,5419,5303,10722,,,,
, 30 - 34 yrs,2647,2481,5128,,,,
, 35 - 39 yrs,3132,3045,6177,,,,
, 40 - 44 yrs,2773,2495,5268,,,,
, 45 - 49 yrs,2366,2224,4590,,,,
, 50 - 54 yrs,1500,1663,3163,,,,
, 55 - 59 yrs,1042,1182,2224,,,,
, 60 - 64 yrs,591,695,1286,,,,
, 65 - 69 yrs,377,487,864,,,,
, 70 - 74 yrs,206,353,559,,,,
, 75 - 79 yrs,136,222,358,,,,
, 80+ yrs,91,190,281,,,,
, Total,44278,45169,89447,,,,
,,,,,,,,
,AREA # 19,Stung Treng,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,737,726,1463,,,,
, 5 - 9 years,792,771,1563,,,,
, 10 - 14 yrs,1022,1093,2115,,,,
, 15 - 19 yrs,1323,1193,2516,,,,
, 20 - 24 yrs,904,818,1722,,,,
, 25 - 29 yrs,785,741,1526,,,,
, 30 - 34 yrs,496,470,966,,,,
, 35 - 39 yrs,625,634,1259,,,,
, 40 - 44 yrs,606,517,1123,,,,
, 45 - 49 yrs,514,487,1001,,,,
, 50 - 54 yrs,310,346,656,,,,
, 55 - 59 yrs,214,198,412,,,,
, 60 - 64 yrs,103,140,243,,,,
, 65 - 69 yrs,78,96,174,,,,
, 70 - 74 yrs,60,66,126,,,,
, 75 - 79 yrs,34,60,94,,,,
, 80+ yrs,23,40,63,,,,
, Total,8626,8396,17022,,,,
,,,,,,,,
,AREA # 20,Svay Rieng,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,629,636,1265,,,,
, 5 - 9 years,673,668,1341,,,,
, 10 - 14 yrs,984,941,1925,,,,
, 15 - 19 yrs,1200,1182,2382,,,,
, 20 - 24 yrs,958,883,1841,,,,
, 25 - 29 yrs,739,738,1477,,,,
, 30 - 34 yrs,392,493,885,,,,
, 35 - 39 yrs,606,629,1235,,,,
, 40 - 44 yrs,584,613,1197,,,,
, 45 - 49 yrs,561,527,1088,,,,
, 50 - 54 yrs,298,428,726,,,,
, 55 - 59 yrs,243,361,604,,,,
, 60 - 64 yrs,133,211,344,,,,
, 65 - 69 yrs,95,182,277,,,,
, 70 - 74 yrs,86,141,227,,,,
, 75 - 79 yrs,39,75,114,,,,
, 80+ yrs,39,62,101,,,,
, Total,8259,8770,17029,,,,
,,,,,,,,
,AREA # 21,Takeo,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,555,531,1086,,,,
, 5 - 9 years,645,659,1304,,,,
, 10 - 14 yrs,944,862,1806,,,,
, 15 - 19 yrs,1037,927,1964,,,,
, 20 - 24 yrs,863,777,1640,,,,
, 25 - 29 yrs,714,658,1372,,,,
, 30 - 34 yrs,302,329,631,,,,
, 35 - 39 yrs,496,548,1044,,,,
, 40 - 44 yrs,449,464,913,,,,
, 45 - 49 yrs,340,410,750,,,,
, 50 - 54 yrs,250,344,594,,,,
, 55 - 59 yrs,186,282,468,,,,
