Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Waitomo district","10-14 years","Total people, ethnic group","Male","1996",440,
"Waitomo district","10-14 years","Total people, ethnic group","Female","1996",450,
"Taupo district","10-14 years","Total people, ethnic group","Male","1996",1320,
"Taupo district","10-14 years","Total people, ethnic group","Female","1996",1220,
"Western Bay of Plenty district","10-14 years","Total people, ethnic group","Male","1996",1410,
"Western Bay of Plenty district","10-14 years","Total people, ethnic group","Female","1996",1460,
"Tauranga city","10-14 years","Total people, ethnic group","Male","1996",2830,
"Tauranga city","10-14 years","Total people, ethnic group","Female","1996",2770,
"Rotorua district","10-14 years","Total people, ethnic group","Male","1996",2790,
"Rotorua district","10-14 years","Total people, ethnic group","Female","1996",2640,
"Whakatane district","10-14 years","Total people, ethnic group","Male","1996",1550,
"Whakatane district","10-14 years","Total people, ethnic group","Female","1996",1440,
"Kawerau district","10-14 years","Total people, ethnic group","Male","1996",400,
"Kawerau district","10-14 years","Total people, ethnic group","Female","1996",370,
"Opotiki district","10-14 years","Total people, ethnic group","Male","1996",420,
"Opotiki district","10-14 years","Total people, ethnic group","Female","1996",420,
"Gisborne district","10-14 years","Total people, ethnic group","Male","1996",2070,
"Gisborne district","10-14 years","Total people, ethnic group","Female","1996",2030,
"Wairoa district","10-14 years","Total people, ethnic group","Male","1996",490,
"Wairoa district","10-14 years","Total people, ethnic group","Female","1996",480,
"Hastings district","10-14 years","Total people, ethnic group","Male","1996",2820,
"Hastings district","10-14 years","Total people, ethnic group","Female","1996",2620,
"Napier city","10-14 years","Total people, ethnic group","Male","1996",1980,
"Napier city","10-14 years","Total people, ethnic group","Female","1996",1880,
"Central Hawke's Bay district","10-14 years","Total people, ethnic group","Male","1996",630,
"Central Hawke's Bay district","10-14 years","Total people, ethnic group","Female","1996",590,
"New Plymouth district","10-14 years","Total people, ethnic group","Male","1996",2830,
"New Plymouth district","10-14 years","Total people, ethnic group","Female","1996",2580,
"Stratford district","10-14 years","Total people, ethnic group","Male","1996",420,
"Stratford district","10-14 years","Total people, ethnic group","Female","1996",380,
"South Taranaki district","10-14 years","Total people, ethnic group","Male","1996",1300,
"South Taranaki district","10-14 years","Total people, ethnic group","Female","1996",1250,
"Ruapehu district","10-14 years","Total people, ethnic group","Male","1996",710,
"Ruapehu district","10-14 years","Total people, ethnic group","Female","1996",700,
"Wanganui district","10-14 years","Total people, ethnic group","Male","1996",1830,
"Wanganui district","10-14 years","Total people, ethnic group","Female","1996",1780,
"Rangitikei district","10-14 years","Total people, ethnic group","Male","1996",720,
"Rangitikei district","10-14 years","Total people, ethnic group","Female","1996",700,
"Manawatu district","10-14 years","Total people, ethnic group","Male","1996",1190,
"Manawatu district","10-14 years","Total people, ethnic group","Female","1996",1120,
"Palmerston North city","10-14 years","Total people, ethnic group","Male","1996",2610,
"Palmerston North city","10-14 years","Total people, ethnic group","Female","1996",2400,
"Tararua district","10-14 years","Total people, ethnic group","Male","1996",900,
"Tararua district","10-14 years","Total people, ethnic group","Female","1996",780,
"Horowhenua district","10-14 years","Total people, ethnic group","Male","1996",1160,
"Horowhenua district","10-14 years","Total people, ethnic group","Female","1996",1120,
"Kapiti Coast district","10-14 years","Total people, ethnic group","Male","1996",1350,
"Kapiti Coast district","10-14 years","Total people, ethnic group","Female","1996",1290,
"Porirua city","10-14 years","Total people, ethnic group","Male","1996",2060,
"Porirua city","10-14 years","Total people, ethnic group","Female","1996",1880,
"Upper Hutt city","10-14 years","Total people, ethnic group","Male","1996",1460,
"Upper Hutt city","10-14 years","Total people, ethnic group","Female","1996",1340,
"Lower Hutt city","10-14 years","Total people, ethnic group","Male","1996",3590,
"Lower Hutt city","10-14 years","Total people, ethnic group","Female","1996",3400,
"Wellington city","10-14 years","Total people, ethnic group","Male","1996",4720,
"Wellington city","10-14 years","Total people, ethnic group","Female","1996",4400,
"Masterton district","10-14 years","Total people, ethnic group","Male","1996",1020,
"Masterton district","10-14 years","Total people, ethnic group","Female","1996",970,
"Carterton district","10-14 years","Total people, ethnic group","Male","1996",290,
"Carterton district","10-14 years","Total people, ethnic group","Female","1996",280,
"South Wairarapa district","10-14 years","Total people, ethnic group","Male","1996",370,
"South Wairarapa district","10-14 years","Total people, ethnic group","Female","1996",320,
"Tasman district","10-14 years","Total people, ethnic group","Male","1996",1570,
"Tasman district","10-14 years","Total people, ethnic group","Female","1996",1410,
"Nelson city","10-14 years","Total people, ethnic group","Male","1996",1400,
"Nelson city","10-14 years","Total people, ethnic group","Female","1996",1310,
"Marlborough district","10-14 years","Total people, ethnic group","Male","1996",1450,
"Marlborough district","10-14 years","Total people, ethnic group","Female","1996",1440,
"Kaikoura district","10-14 years","Total people, ethnic group","Male","1996",140,
"Kaikoura district","10-14 years","Total people, ethnic group","Female","1996",140,
"Buller district","10-14 years","Total people, ethnic group","Male","1996",440,
"Buller district","10-14 years","Total people, ethnic group","Female","1996",380,
"Grey district","10-14 years","Total people, ethnic group","Male","1996",520,
"Grey district","10-14 years","Total people, ethnic group","Female","1996",500,
"Westland district","10-14 years","Total people, ethnic group","Male","1996",300,
"Westland district","10-14 years","Total people, ethnic group","Female","1996",320,
"Hurunui district","10-14 years","Total people, ethnic group","Male","1996",330,
"Hurunui district","10-14 years","Total people, ethnic group","Female","1996",390,
"Waimakariri district","10-14 years","Total people, ethnic group","Male","1996",1260,
"Waimakariri district","10-14 years","Total people, ethnic group","Female","1996",1130,
"Christchurch city","10-14 years","Total people, ethnic group","Male","1996",10230,
"Christchurch city","10-14 years","Total people, ethnic group","Female","1996",10020,
"Selwyn district","10-14 years","Total people, ethnic group","Male","1996",980,
"Selwyn district","10-14 years","Total people, ethnic group","Female","1996",920,
"Ashburton district","10-14 years","Total people, ethnic group","Male","1996",950,
"Ashburton district","10-14 years","Total people, ethnic group","Female","1996",860,
"Timaru district","10-14 years","Total people, ethnic group","Male","1996",1550,
"Timaru district","10-14 years","Total people, ethnic group","Female","1996",1560,
"Mackenzie district","10-14 years","Total people, ethnic group","Male","1996",140,
"Mackenzie district","10-14 years","Total people, ethnic group","Female","1996",150,
"Waimate district","10-14 years","Total people, ethnic group","Male","1996",310,
"Waimate district","10-14 years","Total people, ethnic group","Female","1996",280,
"Chatham Islands territory","10-14 years","Total people, ethnic group","Male","1996",40,
"Chatham Islands territory","10-14 years","Total people, ethnic group","Female","1996",25,
"Waitaki district","10-14 years","Total people, ethnic group","Male","1996",820,
"Waitaki district","10-14 years","Total people, ethnic group","Female","1996",760,
"Central Otago district","10-14 years","Total people, ethnic group","Male","1996",600,
"Central Otago district","10-14 years","Total people, ethnic group","Female","1996",520,
"Queenstown-Lakes district","10-14 years","Total people, ethnic group","Male","1996",400,
"Queenstown-Lakes district","10-14 years","Total people, ethnic group","Female","1996",350,
"Dunedin city","10-14 years","Total people, ethnic group","Male","1996",3870,
"Dunedin city","10-14 years","Total people, ethnic group","Female","1996",3640,
"Clutha district","10-14 years","Total people, ethnic group","Male","1996",710,
"Clutha district","10-14 years","Total people, ethnic group","Female","1996",660,
"Southland district","10-14 years","Total people, ethnic group","Male","1996",1380,
"Southland district","10-14 years","Total people, ethnic group","Female","1996",1290,
"Gore district","10-14 years","Total people, ethnic group","Male","1996",540,
"Gore district","10-14 years","Total people, ethnic group","Female","1996",510,
"Invercargill city","10-14 years","Total people, ethnic group","Male","1996",2100,
"Invercargill city","10-14 years","Total people, ethnic group","Female","1996",2140,
"Area outside territorial authority","10-14 years","Total people, ethnic group","Male","1996",5,
"Area outside territorial authority","10-14 years","Total people, ethnic group","Female","1996",5,
"Far North district","15-19 years","Total people, ethnic group","Male","1996",1910,
"Far North district","15-19 years","Total people, ethnic group","Female","1996",1680,
