contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2 Deaths (numbers): area of usual residence, by age and sex, 2014 registrations,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England and Wales
"England and Wales, England, regions, unitary authorities/counties/districts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area of usual residence,All Ages,,Under 1,, 1 ­ 4,,5­9,, 10-14,,15-19,,20-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70-74,,75-79,,80-84,,85-89,,90 and over,
,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND AND WALES1       ,"245,142","256,282","1,460","1,229",271,198,162,130,173,119,536,293,959,413,"1,196",558,"1,523",861,"2,017","1,198","3,282","2,125","5,108","3,286","7,076","4,856","9,689","6,501","14,289","9,677","21,901","14,938","26,311","19,268","34,589","27,917","41,831","41,029","40,126","50,909","32,643","70,777"
York                            ,809,962,2,2,1,0,1,0,0,0,3,1,4,2,4,4,5,4,5,2,9,5,11,13,16,16,23,24,38,30,78,45,73,56,103,133,161,154,148,204,124,267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yorkshire                   ,"2,936","3,143",12,8,1,3,1,2,2,0,5,1,6,5,7,5,14,6,16,9,27,17,36,38,67,53,98,60,147,96,220,150,331,213,449,328,504,512,546,658,447,979
Craven                            ,289,317,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,3,2,7,5,7,8,11,7,12,7,26,15,26,15,33,40,55,43,58,70,46,101
Hambleton                         ,451,412,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,1,4,8,6,10,20,5,13,15,28,21,58,30,85,50,79,72,84,80,67,117
Harrogate                         ,696,905,4,2,1,1,1,2,0,0,0,1,0,2,0,1,2,1,3,3,10,3,7,7,13,7,24,19,41,22,47,39,71,61,93,77,114,155,146,199,119,303
Richmondshire                     ,215,231,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,1,0,3,1,1,1,8,3,6,5,10,9,15,15,27,15,30,26,39,41,38,48,32,65
Ryedale                           ,268,244,2,1,0,1,0,0,0,0,1,0,2,1,2,0,1,1,1,1,1,0,7,5,4,3,4,6,17,14,20,17,26,15,43,19,45,43,56,42,36,75
Scarborough                       ,655,668,4,2,0,0,0,0,2,0,3,0,0,1,1,2,4,1,7,2,5,6,6,8,19,13,22,13,27,14,53,26,78,46,107,75,112,104,107,135,98,220
Selby                             ,362,366,1,2,0,1,0,0,0,0,1,0,1,0,0,0,4,1,2,0,1,4,4,4,10,9,11,5,27,15,31,17,45,31,58,41,60,54,57,84,49,98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yorkshire (Met county)      ,"6,164","6,520",40,29,5,4,5,4,8,7,12,9,18,10,28,14,40,21,68,31,88,66,149,85,186,105,278,166,360,243,588,394,698,518,887,800,"1,016","1,116",988,"1,303",702,"1,595"
Barnsley                          ,"1,110","1,195",8,4,2,0,0,1,2,0,2,3,3,0,3,3,4,0,9,5,17,18,31,21,27,22,49,25,68,51,106,69,152,106,155,145,195,204,174,243,103,275
Doncaster                         ,"1,498","1,516",8,6,3,3,1,1,2,0,3,3,5,4,9,3,12,7,17,4,28,13,28,17,44,29,80,46,83,59,170,109,153,146,199,183,246,268,247,311,160,304
Rotherham                         ,"1,229","1,368",7,5,0,0,1,0,3,0,3,2,3,1,8,4,8,7,15,10,13,17,25,18,43,22,58,42,72,59,120,88,155,99,203,167,197,259,172,248,123,320
Sheffield                         ,"2,327","2,441",17,14,0,1,3,2,1,7,4,1,7,5,8,4,16,7,27,12,30,18,65,29,72,32,91,53,137,74,192,128,238,167,330,305,378,385,395,501,316,696
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Yorkshire (Met county)       ,"9,488","9,955",75,61,18,11,9,6,3,0,18,9,42,20,52,32,75,32,95,62,137,90,214,129,289,198,421,282,651,401,911,632,"1,057",769,"1,418","1,170","1,523","1,578","1,420","1,979","1,060","2,494"
Bradford                          ,"2,149","2,267",26,26,8,8,3,2,1,0,6,3,10,4,9,10,24,7,38,17,36,24,34,42,67,48,110,53,163,84,192,124,239,181,312,250,329,375,320,461,222,548
Calderdale                        ,904,964,8,1,0,0,0,1,0,0,1,0,4,3,1,3,10,3,11,7,14,7,24,11,35,16,39,40,59,51,94,64,101,69,128,119,135,129,134,192,106,248
Kirklees                          ,"1,744","1,941",10,13,5,2,4,0,1,0,1,2,13,5,9,5,7,7,13,12,19,13,42,22,52,47,66,59,111,74,160,128,205,149,263,232,286,286,268,369,209,516
Leeds                             ,"3,121","3,196",23,16,4,0,2,2,1,0,6,2,10,6,16,7,31,13,27,19,43,27,83,38,89,49,142,77,203,126,282,200,324,246,484,383,516,532,480,629,355,824
Wakefield                         ,"1,570","1,587",8,5,1,1,0,1,0,0,4,2,5,2,17,7,3,2,6,7,25,19,31,16,46,38,64,53,115,66,183,116,188,124,231,186,257,256,218,328,168,358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDLANDS                     ,"20,742","21,197",118,113,31,15,18,11,22,11,53,18,78,27,81,44,114,59,165,105,238,176,385,304,589,391,793,513,"1,155",810,"1,868","1,266","2,293","1,618","2,894","2,285","3,657","3,445","3,501","4,204","2,689","5,782"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby                           ,"1,117","1,042",12,7,3,1,0,0,1,1,2,0,3,0,2,2,8,3,9,9,17,13,31,17,32,21,47,31,62,45,94,46,118,80,150,122,201,185,182,199,143,260
Leicester                       ,"1,239","1,219",6,11,2,0,3,0,3,1,1,0,4,4,9,4,5,6,17,8,18,13,25,22,47,36,70,43,76,49,121,84,126,79,173,127,185,196,206,235,142,301
Nottingham                      ,"1,152","1,147",17,19,0,1,2,1,3,2,4,1,5,3,8,1,12,5,15,10,22,8,28,23,46,21,64,40,73,41,106,66,104,91,167,131,188,190,174,206,114,287
Rutland                         ,168,172,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,1,1,4,3,2,3,2,5,6,9,7,16,18,19,18,38,22,36,33,30,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbyshire                        ,"3,830","3,981",12,17,4,1,3,3,4,0,14,2,20,3,10,13,15,14,29,14,33,27,77,50,112,71,130,99,227,155,353,247,443,297,537,394,677,667,642,804,488,"1,103"
Amber Valley                      ,596,659,1,6,0,0,0,1,0,0,3,0,3,1,0,2,4,1,1,2,8,0,11,7,24,12,14,19,31,31,71,36,77,43,88,75,93,95,87,136,80,192
Bolsover                          ,448,426,5,2,0,0,0,1,0,0,0,1,3,0,4,2,1,1,5,2,5,2,8,9,12,5,13,11,27,13,39,33,52,37,66,49,83,71,77,78,48,109
Chesterfield                      ,530,579,1,2,2,0,0,0,0,0,3,0,4,0,0,3,1,6,4,5,11,4,12,7,16,10,25,14,25,16,43,37,67,46,77,60,84,93,78,126,77,150
