"Country or Area","Year","Area","Sex","Age of mother","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2010","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2010","33004","1"
"Russian Federation","2010","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2010","28757","1"
"Russian Federation","2010","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2010","24416","1"
"Russian Federation","2010","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2010","19921","1"
"Russian Federation","2010","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2010","15180","1"
"Russian Federation","2010","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2010","11812","1"
"Russian Federation","2010","Total","Male","39","Data tabulated by year of occurrence","Final figure, complete","2010","8505","1"
"Russian Federation","2010","Total","Male","40","Data tabulated by year of occurrence","Final figure, complete","2010","5871","1"
"Russian Federation","2010","Total","Male","41","Data tabulated by year of occurrence","Final figure, complete","2010","3806","1"
"Russian Federation","2010","Total","Male","42","Data tabulated by year of occurrence","Final figure, complete","2010","2357","1"
"Russian Federation","2010","Total","Male","43","Data tabulated by year of occurrence","Final figure, complete","2010","1367","1"
"Russian Federation","2010","Total","Male","44","Data tabulated by year of occurrence","Final figure, complete","2010","732","1"
"Russian Federation","2010","Total","Male","45","Data tabulated by year of occurrence","Final figure, complete","2010","334","1"
"Russian Federation","2010","Total","Male","46","Data tabulated by year of occurrence","Final figure, complete","2010","172","1"
"Russian Federation","2010","Total","Male","47","Data tabulated by year of occurrence","Final figure, complete","2010","106","1"
"Russian Federation","2010","Total","Male","48","Data tabulated by year of occurrence","Final figure, complete","2010","40","1"
"Russian Federation","2010","Total","Male","49","Data tabulated by year of occurrence","Final figure, complete","2010","28","1"
"Russian Federation","2010","Total","Male","50 +","Data tabulated by year of occurrence","Final figure, complete","2010","44","1"
"Russian Federation","2010","Total","Male","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","1096","1"
"Russian Federation","2010","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2010","869309","1"
"Russian Federation","2010","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2010","3","1"
"Russian Federation","2010","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2010","22","1"
"Russian Federation","2010","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2010","141","1"
"Russian Federation","2010","Total","Female","15","Data tabulated by year of occurrence","Final figure, complete","2010","826","1"
"Russian Federation","2010","Total","Female","16","Data tabulated by year of occurrence","Final figure, complete","2010","2859","1"
"Russian Federation","2010","Total","Female","17","Data tabulated by year of occurrence","Final figure, complete","2010","7637","1"
