Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Manawatu-Wanganui region","15-19 years","Total people, ethnic group","Male","1996",9290,
"Manawatu-Wanganui region","15-19 years","Total people, ethnic group","Female","1996",9000,
"Wellington region","15-19 years","Total people, ethnic group","Male","1996",14780,
"Wellington region","15-19 years","Total people, ethnic group","Female","1996",14710,
"Tasman region","15-19 years","Total people, ethnic group","Male","1996",1340,
"Tasman region","15-19 years","Total people, ethnic group","Female","1996",1170,
"Nelson region","15-19 years","Total people, ethnic group","Male","1996",1450,
"Nelson region","15-19 years","Total people, ethnic group","Female","1996",1290,
"Marlborough region","15-19 years","Total people, ethnic group","Male","1996",1380,
"Marlborough region","15-19 years","Total people, ethnic group","Female","1996",1210,
"West Coast region","15-19 years","Total people, ethnic group","Male","1996",1150,
"West Coast region","15-19 years","Total people, ethnic group","Female","1996",1010,
"Canterbury region","15-19 years","Total people, ethnic group","Male","1996",17500,
"Canterbury region","15-19 years","Total people, ethnic group","Female","1996",16930,
"Otago region","15-19 years","Total people, ethnic group","Male","1996",7570,
"Otago region","15-19 years","Total people, ethnic group","Female","1996",7910,
"Southland region","15-19 years","Total people, ethnic group","Male","1996",3810,
"Southland region","15-19 years","Total people, ethnic group","Female","1996",3410,
"Northland region","20-24 years","Total people, ethnic group","Male","1996",3760,
"Northland region","20-24 years","Total people, ethnic group","Female","1996",3770,
"Auckland region","20-24 years","Total people, ethnic group","Male","1996",43050,
"Auckland region","20-24 years","Total people, ethnic group","Female","1996",44200,
"Waikato region","20-24 years","Total people, ethnic group","Male","1996",13760,
"Waikato region","20-24 years","Total people, ethnic group","Female","1996",13310,
"Bay of Plenty region","20-24 years","Total people, ethnic group","Male","1996",7030,
"Bay of Plenty region","20-24 years","Total people, ethnic group","Female","1996",7150,
"Gisborne region","20-24 years","Total people, ethnic group","Male","1996",1530,
"Gisborne region","20-24 years","Total people, ethnic group","Female","1996",1470,
"Hawke's Bay region","20-24 years","Total people, ethnic group","Male","1996",4600,
"Hawke's Bay region","20-24 years","Total people, ethnic group","Female","1996",4660,
"Taranaki region","20-24 years","Total people, ethnic group","Male","1996",3400,
"Taranaki region","20-24 years","Total people, ethnic group","Female","1996",3330,
"Manawatu-Wanganui region","20-24 years","Total people, ethnic group","Male","1996",9880,
"Manawatu-Wanganui region","20-24 years","Total people, ethnic group","Female","1996",9450,
"Wellington region","20-24 years","Total people, ethnic group","Male","1996",16470,
"Wellington region","20-24 years","Total people, ethnic group","Female","1996",17230,
"Tasman region","20-24 years","Total people, ethnic group","Male","1996",1170,
"Tasman region","20-24 years","Total people, ethnic group","Female","1996",1090,
"Nelson region","20-24 years","Total people, ethnic group","Male","1996",1460,
"Nelson region","20-24 years","Total people, ethnic group","Female","1996",1480,
"Marlborough region","20-24 years","Total people, ethnic group","Male","1996",1270,
"Marlborough region","20-24 years","Total people, ethnic group","Female","1996",1020,
"West Coast region","20-24 years","Total people, ethnic group","Male","1996",980,
"West Coast region","20-24 years","Total people, ethnic group","Female","1996",930,
"Canterbury region","20-24 years","Total people, ethnic group","Male","1996",19730,
"Canterbury region","20-24 years","Total people, ethnic group","Female","1996",18690,
"Otago region","20-24 years","Total people, ethnic group","Male","1996",8900,
"Otago region","20-24 years","Total people, ethnic group","Female","1996",9310,
"Southland region","20-24 years","Total people, ethnic group","Male","1996",3230,
"Southland region","20-24 years","Total people, ethnic group","Female","1996",2970,
"Northland region","25-29 years","Total people, ethnic group","Male","1996",4110,
"Northland region","25-29 years","Total people, ethnic group","Female","1996",4600,
"Auckland region","25-29 years","Total people, ethnic group","Male","1996",45410,
"Auckland region","25-29 years","Total people, ethnic group","Female","1996",48560,
"Waikato region","25-29 years","Total people, ethnic group","Male","1996",12850,
"Waikato region","25-29 years","Total people, ethnic group","Female","1996",13460,
"Bay of Plenty region","25-29 years","Total people, ethnic group","Male","1996",7330,
"Bay of Plenty region","25-29 years","Total people, ethnic group","Female","1996",7980,
"Gisborne region","25-29 years","Total people, ethnic group","Male","1996",1470,
"Gisborne region","25-29 years","Total people, ethnic group","Female","1996",1670,
"Hawke's Bay region","25-29 years","Total people, ethnic group","Male","1996",4830,
"Hawke's Bay region","25-29 years","Total people, ethnic group","Female","1996",5030,
"Taranaki region","25-29 years","Total people, ethnic group","Male","1996",3670,
"Taranaki region","25-29 years","Total people, ethnic group","Female","1996",3720,
"Manawatu-Wanganui region","25-29 years","Total people, ethnic group","Male","1996",8350,
"Manawatu-Wanganui region","25-29 years","Total people, ethnic group","Female","1996",8450,
